Keyword,検索回数の合計,Area,Genre,Conditions
新宿,1156,市区郡から探す＞東京都から探す＞新宿区,,tokyo-searchfromcitycounty/shinjukuward
池袋,990,路線・駅から探す＞山手線の駅名から探す＞池袋駅,,station/2431
八王子,786,市区郡から探す＞八王子市,,tokyo-searchfromcitycounty/hachiojicity
渋谷,665,市区郡から探す＞東京都から探す＞渋谷区,,tokyo-searchfromcitycounty/shibuyaward
有楽町,665,路線・駅から探す＞山手線の駅名から探す＞有楽町駅,,station/2443
東京駅,663,路線・駅から探す＞山手線の駅名から探す＞東京駅,,station/2417
武蔵小杉,615,路線・駅から探す＞南部線の駅名から探す＞武蔵小杉駅,,station/3087
天王寺,599,市区郡から探す＞大阪府から探す＞大阪市,,osaka/osaka-shi
横浜,596,路線・駅から探す＞東海道本線の駅名から探す＞横浜駅,,station/3066
札幌,585,市区郡から探す＞北海道から探す＞札幌市,,hokkaido/sapporo
鹿児島市,581,市区郡から探す＞鹿児島から探す＞鹿児島市,,kagoshima/kagoshima-shi
町田,577,市区郡から探す＞東京都から探す＞町田市,,tokyo-searchfromcitycounty/machida-shi
吉祥寺,556,路線・駅から探す＞総武本線の駅名から探す＞吉祥寺駅,,station/2495
柏,550,市区郡から探す＞千葉県から探す＞柏市,,chiba/kashiwa-shi
西葛西,537,路線・駅から探す＞東京メトロ東西線の駅名から探す＞西葛西駅,,station/2615
川崎,532,市区郡から探す＞神奈川県から探す＞川崎市,,kanagawa/kawasakicity
姫路,512,市区郡から探す＞兵庫県から探す＞姫路市,,hyogo/himejicity
自由が丘,505,路線・駅から探す＞東急東横線の駅名から探す＞自由が丘駅,,station/2949
大宮,501,市区郡から探す＞埼玉県から探す＞さいたま市大宮区,,saitama/saitamacityomiyaku
チーズケーキ,493,,誕生日ケーキ・ホールケーキ＞チーズケーキ,genre_id=17
立川,480,市区郡から探す＞東京都から探す＞立川市,,tokyo-searchfromcitycounty/tachikawa
枚方市,476,市区郡から探す＞大阪府から探す＞枚方市,,osaka/hirakata
タルト,461,,誕生日ケーキ・ホールケーキ＞タルト,genre_id=20
枚方,456,市区郡から探す＞大阪府から探す＞枚方市,,osaka/hirakata
川口,433,市区郡から探す＞埼玉県から探す＞川口市,,saitama/kawaguchicity
西宮,416,市区郡から探す＞兵庫県から探す＞西宮市,,hyogo/nishinomiya
赤羽,380,市区郡から探す＞東京都から探す＞北区,,tokyo-searchfromcitycounty/kita-ku
所沢,372,市区郡から探す＞埼玉県から探す＞所沢市,,saitama/tokorozawa
浅草,356,市区郡から探す＞東京都から探す＞台東区,,tokyo-searchfromcitycounty/taito
春日部,344,市区郡から探す＞埼玉県から探す＞春日部市,,saitama/kasukabe
川越,341,市区郡から探す＞埼玉県から探す＞川越市,,saitama/kawagoe-shi
鷺沼,333,路線・駅から探す＞東急田園都市線の駅名から探す＞鷺沼駅,,station/3264
藤沢,332,市区郡から探す＞神奈川県から探す＞藤沢市,,kanagawa/fujisawa
横浜駅,329,路線・駅から探す＞東海道本線の駅名から探す＞横浜駅,,station/3066
大阪,324,市区郡から探す＞大阪府から探す＞全て,,osaka
越谷,323,市区郡から探す＞埼玉県から探す＞越谷市,,saitama/koshigaya
国分寺,323,市区郡から探す＞東京都から探す＞国分寺市,,tokyo-searchfromcitycounty/kokubunji
上野,323,エリアから探す＞東京都から探す＞上野・浅草・日暮里,,tokyo-citycenter/ueno-asakusa-nippori
松戸,322,市区郡から探す＞千葉県から探す＞松戸市,,chiba/matsudo-shi
上大岡,318,市区郡から探す＞神奈川県から探す＞横浜市港南区,,kanagawa/yokohama-shikonan-ku
尼崎,316,市区郡から探す＞兵庫県から探す＞尼崎市,,hyogo/amagasaki
大阪市,309,市区郡から探す＞大阪府から探す＞大阪市,,osaka/osaka-shi
新宿駅,303,路線・駅から探す＞山手線＞新宿駅,,station/2427
五反田,298,路線・駅から探す＞山手線＞五反田駅,,station/2421
東京,298,市区郡から探す＞東京都から探す＞全て,,tokyo-searchfromcitycounty
堺市,297,市区郡から探す＞東京都から探す＞全て,,osaka/sakai
練馬区,287,市区郡から探す＞東京都から探す＞練馬区,,tokyo-searchfromcitycounty/nerima-ku
船橋,286,市区郡から探す＞東京都から探す＞練馬区,,chiba/funabashi
足立区,286,市区郡から探す＞東京都から探す＞足立区,,tokyo-searchfromcitycounty/adachi-ku
九品仏,276,路線・駅から探す＞東急大井町線の駅名から探す＞九品仏駅,,station/2981
品川,270,市区郡から探す＞東京都から探す＞品川区,,tokyo-searchfromcitycounty/shinagawa-ku
名古屋市,270,市区郡から探す＞愛知県から探す＞名古屋市,,aichi/nagoyacity
名古屋,267,市区郡から探す＞愛知県から探す＞名古屋市,,aichi/nagoyacity
モンブラン,266,,誕生日ケーキ・ホールケーキ＞モンブラン,genre_id=18
さいたま市北区,262,市区郡から探す＞埼玉県から探す＞さいたま市北区,,saitama/saitama-shikita-ku
川口市,259,市区郡から探す＞埼玉県から探す＞川口市,,saitama/kawaguchicity
江戸川区,253,市区郡から探す＞東京都から探す＞江戸川区,,tokyo-searchfromcitycounty/edogawa-ku
豊中,252,市区郡から探す＞大阪府から探す＞豊中市,,osaka/toyonaka
相模原市,251,市区郡から探す＞神奈川県から探す＞相模原市,,kanagawa/sagamiharacity
福岡市,251,市区郡から探す＞福岡県から探す＞福岡市,,fukuoka/fukuokacity
ホールケーキ,247,,誕生日ケーキ・ホールケーキ＞全て,genre_id=1
鎌倉,246,市区郡から探す＞神奈川県から探す＞鎌倉市,,kanagawa/kamakuracity
水戸市,245,市区郡から探す＞茨城県から探す＞水戸市,,ibaraki/mitocity
玉川学園前,244,路線・駅から探す＞小田急小田原線の駅名から探す＞玉川学園前駅,,station/2941
宇都宮,243,市区郡から探す＞栃木県から探す＞宇都宮市,,tochigi/utsunomiya-shi
八千代市,239,市区郡から探す＞千葉から探す＞八代市,,chiba/yachiyo
つくば,237,市区郡から探す＞茨城県から探す＞つくば市,,ibaraki/tsukubacity
帯広,236,市区郡から探す＞北海道から探す＞帯広市,,hokkaido/obihiro
誕生日ケーキ,235,,誕生日ケーキ・ホールケーキ＞全て,genre_id=1
豊中市,231,市区郡から探す＞大阪府から探す＞豊中市,,osaka/toyonaka
柏市,230,市区郡から探す＞千葉県から探す＞柏市,,chiba/kashiwa-shi
豊田市,230,市区郡から探す＞愛知県から探す＞豊田市,,aichi/toyota-shi
札幌市,229,市区郡から探す＞北海道から探す＞札幌市,,hokkaido/sapporo
平塚,225,市区郡から探す＞神奈川県から探す＞平塚市,,kanagawa/hiratsuka
久喜,224,市区郡から探す＞埼玉県から探す＞久喜市,,saitama/kuki
港区,221,市区郡から探す＞東京都から探す＞港区,,tokyo-searchfromcitycounty/minato-ku
岸和田,220,市区郡から探す＞大阪府から探す＞岸和田市,,osaka/kishiwadacity
花小金井,219,路線・駅から探す＞西武新宿線の駅名から探す＞花小金井駅,,station/2826
海老名,218,市区郡から探す＞神奈川県から探す＞海老名市,,kanagawa/ebinacity
西宮市,218,市区郡から探す＞兵庫県から探す＞西宮市,,hyogo/nishinomiya
相模原,218,市区郡から探す＞神奈川県から探す＞相模原市,,kanagawa/sagamiharacity
クリスマスケーキ,214,,クリスマスケーキ＞全て,genre_id=48
キャラクター,211,,誕生日ケーキ・ホールケーキ＞写真・プリントケーキ,genre_id=395
浜松市,206,市区郡から探す＞静岡県から探す＞浜松市,,shizuoka/hamamatsu
シフォンケーキ,204,,誕生日ケーキ・ホールケーキ＞シフォンケーキ,genre_id=16
東海市,204,市区郡から探す＞愛知県から探す＞東海市,,aichi/tokaicity
緑区,203,市区郡から探す＞神奈川県から探す＞横浜市緑区,,kanagawa/yokohamacitygreenarea
千葉市,201,市区郡から探す＞千葉県から探す＞千葉市,,chiba/chiba-shi
明石,201,市区郡から探す＞兵庫県から探す＞明石市,,hyogo/akashi-shi
水戸,199,市区郡から探す＞茨城県から探す＞水戸市,,ibaraki/mitocity
東久留米,196,市区郡から探す＞東京都から探す＞東久留米市,,tokyo-searchfromcitycounty/higokurumecity
恵比寿,191,エリアから探す＞東京都から探す＞渋谷・恵比寿・代官山,,tokyo-citycenter/shibuyaebisudaikanyama
秦野,191,市区郡から探す＞神奈川県から探す＞秦野市,,kanagawa/hatano
川崎駅,191,路線・駅から探す＞京浜東北線の駅名から探す＞川崎駅,,station/3065
墨田区,190,市区郡から探す＞東京都から探す＞墨田区,,tokyo-searchfromcitycounty/sumida-ku
ロールケーキ,189,,誕生日ケーキ・ホールケーキ＞ロールケーキ,genre_id=19
加古川,189,市区郡から探す＞兵庫県から探す＞加古川市,,hyogo/kakogawa
調布,189,市区郡から探す＞東京都から探す＞調布市,,tokyo-searchfromcitycounty/chofu
新潟市,188,市区郡から探す＞新潟県から探す＞新潟市,,niigata/niigatacity
東村山,186,市区郡から探す＞東京都から探す＞東村山市,,tokyo-searchfromcitycounty/higashimurayamacity
文京区,186,市区郡から探す＞東京都から探す＞文京区,,tokyo-searchfromcitycounty/bunkyoku
ストロベリーショートケーキ,184,,ショートケーキ＞イチゴ・ベリー,genre_id=199
宇都宮市,182,市区郡から探す＞栃木県から探す＞宇都宮市,,tochigi/utsunomiya-shi
葛飾区,181,市区郡から探す＞東京都から探す＞葛飾区,,tokyo-searchfromcitycounty/katsushika
泉佐野,181,市区郡から探す＞大阪府から探す＞泉佐野市,,osaka/izumisano
神戸市,180,市区郡から探す＞兵庫県＞神戸市,,hyogo/kobecity
浜松,180,市区郡から探す＞静岡県＞浜松市,,shizuoka/hamamatsu
豊洲,180,市区郡から探す＞東京都＞江東区,,tokyo-searchfromcitycounty/kotoward
